Nombre Grace,Claves Clases,Link MisProfes,
ALFREDO VILLAFRANCA QUINTO,EGN-17162,https://www.misprofesores.com/profesores/Alfredo-Villafranca-Quinto_10811,
HERICA SANCHEZ LARIOS,"MAT-12200, MAT-14250, MAT-14200",https://www.misprofesores.com/profesores/Herica-Sanchez-Larios_40771,
CARLOS MENA LABARTHE,"DER-16007, DER-16057",N/A,
ELIZABETH GEORGINA URRUTIA LEZAMA,"CON-10110, CON-10100",https://www.misprofesores.com/profesores/Elizabeth-Georgina-Urrutia-Lezama_22908,
MARIA DE LA CRUZ TORRES MANTECON,"ADM-14405, ADM-12302, ADM-14401",https://www.misprofesores.com/profesores/Marycruz-Torres-Mantecon_20290,
MIGUEL BERNARDO DE ERICE RODRIGUEZ,"DER-16501, DER-16502",https://www.misprofesores.com/profesores/Miguel-de-Erice_29635,
HUGO CORZO ZANABRIA,LEN-12758,N/A,
ROSA MARIA ATHIE RUBIO,"CON-10001, CON-10110, CON-10100",https://www.misprofesores.com/profesores/Rosa-Ma-Athie_19736,
MIROSLAVA MENDOZA VIDAL,COM-16412,https://www.misprofesores.com/profesores/Miroslava-Mendoza-Vidal_30732,
JUAN CARLOS AGUILAR VILLEGAS,"MAT-14102, MAT-14400, MAT-24210",https://www.misprofesores.com/profesores/Juan-Carlos-Aguilar-Villegas_10711,
JULIETA MARIA SARRALDE VERA,"ADM-15750, ADM-15501",https://www.misprofesores.com/profesores/Julieta-Maria-Sarralde-Vera_10718,
JOSE MANUEL OROZCO GARIBAY,EGN-17161,https://www.misprofesores.com/profesores/Jose-Manuel-Orozco-Garibay_10824,
ARTURO RAMIREZ VERDUGO,ECO-15101,,
ALEXANDROS FAKOS,"ADM-12103, ADM-12108",,
FELIPE JAVIER MEDINA AGUAYO,EST-14103,,
RODRIGO CHACON AGUIRRE,"EIN-14302, EIN-14102",,
SANDRA PATRICIA MINABURO VILLAR,"CON-10002, CON-10106, CON-10111",,
ANA SOFIA CHARVEL OROZCO,DER-15504,,
SOFIA CORONA VERDUZCO,"ECO-12010, ECO-12102, ECO-11010, ECO-11101",,
EMILIO RUVALCABA ORNELAS,"DER-16501, DER-16502",,
FRANCISCO JAVIER BLANCO RIVERA,SDI-11120,,
JAVIER MARTINEZ VILLARROYA,"LEN-12715, LEN-12702, LEN-10132, LEN-14051",,
GINA AILEEN CASTILLO RIVERO,DER-11113-LAB,,
ERIC MAGAR MEURS,"CSO-10001, CSO-15024",,
JUAN JESUS GARZA ONOFRE,DER-11119,,
ARTURO MANUEL FERNANDEZ PEREZ,ECO-11001,,
CARLOS FERNANDO ESPONDA DARLINGTON,"COM-15126, COM-14113",,
CLAUDIA GABRIELA ORTIZ PEÑA,"CON-14101, CON-12110, CON-14109",,
EDUARDO PORTAS RUIZ,"LEN-12756, LEN-12764",,
MOISES EDUARDO RAMOS DE LA CAJIGA,"ADM-15610, ADM-15582",,
DENISE EUGENIA DRESSER GUERRA,"CSO-13041, CSO-10100, CSO-14021, CSO-14045",,
CLAUDIA EMILIA DE LEON PEREZ,"CON-10110, CON-10100",,
GERARDO FERNANDEZ FERNANDEZ,EGN-17141,,
GUSTAVO ALVAREZ PELAEZ,EST-24104,,
RITA EUGENIA MALDONADO LOZANO,"MAT-11101, MAT-11100, MAT-12100",,
MARCELA RABADAN GALLARDO,"CLE-10603-LAB, LEN-15532, LEN-12717, LEN-12701",,
JOSE GABRIEL MARTINEZ GONZALEZ,"ECO-14303, ECO-14301",,
LEOBARDO FERNANDEZ ROMAN,"MAT-14310, MAT-12200",,
FEDERICO VALLE OCHOA,LEN-12751,,
MONICA ZAVALA ESTRADA,"COM-16306, COM-14113",,
JOSE ALEJANDRO JARDI RAMOS,"COM-16301, COM-16306",,
ANA EUGENIA DIAZ ROSIÑOL,"COM-16305, COM-16301, COM-16306",,
POLUX ERNESTO DIAZ RUIZ,"ADM-15510, ADM-15502",,
ALBERTO ESPINOSA GONZALEZ,"COM-16301, COM-16412, COM-16306",,
ANDRES GOMEZ DE SILVA GARZA,"COM-11102-LAB, COM-11114-LAB, COM-11114, COM-11102",,
TOUFIK CHAIBAT,CLE-10311-LAB,,
WILMER EFREN PEREIRA GONZALEZ,"COM-23114, COM-14106",,
HAZEL BLACKMORE SANCHEZ,EIN-15302,,
LILIANA DE LA TORRE DESENTIS,"EST-13101, EST-11101",,
EDUARDO JOSE PABLO MARTIN GARCIA CORREA,"LEN-12758, LEN-12757",,
MAGDALENA SOFIA BARBA FERNANDEZ,"ECO-11010, ECO-11101",,
CLAUDIA NOEMI GONZALEZ BRAMBILA,ADM-13126,,
LUIS MARTIN ARCINIEGA RUIZ DE ESPARZA,ADM-14402,,
ANTONELLA AGOSTINA BANDIERA,"CSO-16049, CSO-15043",,
INES VARGAS CHRISTLIEB,"DER-10015, DER-10022, DER-10016",,
ANTONIO VIVANCO CASAMADRID,"ECO-14502, ECO-14501, ECO-11010, ECO-11101",,
JORGE AGUILERA SUAREZ,"DER-18802, DER-18601",,
LUIS MANUEL CAMP MEJAN CARRER,DER-13403,,
AMRITA BAHRI,"DER-11111, DER-18044",,
RODRIGO CAMARENA GONZALEZ,"DER-15303, DER-10113",,
ALBERTO SIMPSER MONDLAK,"CSO-17056, CSO-19110, CSO-17041",,
CHRISTINA CORNEJO VAN LUIT,"ECO-10301, CSO-12013, ECO-11010, ECO-11101",,
PAVEL JIMENEZ VAZQUEZ,EGN-17161,,
MARIANA CASILLAS CASILLAS,"MAT-12201, MAT-12220",,
MANUEL GUADARRAMA HERRERA,DER-11116-LAB,,
VLADIMIR CAETANO DE OLIVEIRA CONTRERAS,"MAT-12201, MAT-12200, MAT-12250",,
MANUEL MENDOZA RAMIREZ,"EST-14103, EST-24112",,
JOSE IGNACIO LANZAGORTA GARCIA,"CSO-12041, CSO-12042, CSO-12049",,
JOSE LUIS RIVAS PEREZ,ADM-11018,,
MARCO ANTONIO MORALES AGUIRRE,"COM-11113, COM-11112, COM-11103-LAB, COM-23701, COM-11112-LAB, COM-11103, COM-11113-LAB",,
JUAN FERNANDO CALDERON CABELLO,CON-16100,,
JOSE CARLOS FEMAT ROMERO,ECO-14207,,
JOSE ALBERTO DOMINGO INCERA DIEGUEZ,"COM-12104, SDI-13760",,
LUZ MARIA SILVA ORTIZ,EGN-17161,,
LINDA DIAZ DEL BARRIO,CON-11015,,
JORGE NEME SANCHEZ,LEN-12757,,
DIEGO ALEJANDRO DOMINGUEZ LARREA,ECO-11021,,
MARCO ANTONIO MARTINEZ RAMIREZ,SDI-11561,,
MARTHA ANGELICA GALICIA OSORIO,"DER-13030, DER-13031-LAB",,
GERARDO HERNANDEZ DEL VALLE,ACT-22309,,
MARIA DE LOURDES IBARRA Y HERRERIAS,EGN-17162,,
ANA TAMARIT AMIEVA,"LEN-12702, LEN-12701",,
CARLOS ARMANDO DE JESUS CANTU GARCIA,ECO-12121,,
PABLO ARIEL RAPETTI,"DER-11101, DER-11122",,
DAVID MORENO GUINEA,EGN-17141,,
XOCHITL CHAVARRIA CRUZ,COM-14113,,
JAVIER ESPINO MARTIN,EGN-17141,,
DIEGO ALEJANDRO OTERO ANGELINI,EGN-17121,,
LUIS ALBERTO KING MARTINEZ,DER-11117,,
ANA KARINA MIRANDA FLORES,IIO-13180,,
MARIA GABRIELA  MAZZUCHINO,"LEN-16403, LEN-12701, LEN-12721",,
CLAUDIA ABURTO RANCAÑO,"ECO-11010, ECO-11101",,
LUIS FERNANDO ARTEAGA VILLEDA,CON-14111,,
LUIS ENRIQUE NIETO BARAJAS,"EST-24105, EST-24124, EST-24126, EST-14101",,
SERGIO GARCIA ALQUICIRA,"ACT-11303, ACT-11300",,
ALEXANDRA LEMUS RODRIGUEZ,LEN-12759,,
CLAUDIA SOLEDAD SAAVEDRA MENDEZ,LEN-12701,,
HANNAH BIRKENKOTTER,"DER-11117, DER-11123-LAB, DER-11118",,
LUIS ASALI HARFUCH,DER-13504,,
ROMAIN SYLVAIN JEAN GENIEZ,"DER-11106, DER-11207",,
HECTOR JIMENEZ LANDIN,LEN-12766,,
MATHIAS JOSEF SCHNEIDER,"ADM-15535, ADM-15571, ADM-15533",,
MARIA ARIETTE ALVAREZ KURI,EGN-17121,,
RODRIGO FARIAS GARCIA,DER-10011,,
OSCAR PERALTA GUTIERREZ,ACT-11310,,
PAULINA MORALES LOPEZ SANTIBAÑEZ,LEN-12701,,
MAURICIO TOMAS ROMERO LONDOÑO,"ECO-10516, ECO-10521",,
DORA ILIANA MEDINA MEDINA,"IIO-15140, IIO-15151, IIO-15132",,
BARBARA CARRILLO FLORES,"ECO-13101, ECO-11103",,
ALEJANDRO VALENCIA MARTINEZ,CON-10005,,
ALEJANDRO  RODILES BRETON,"DER-10005, DER-10013, DER-18600, DER-18701",,
KRZYSZTOF ZAREMBA,"ADM-11101, ADM-11017",,
VICTOR FRANCISCO BREÑA MEDINA,"MAT-12201, MAT-14101",,
ERICK MIER MORENO,"EST-24126, EST-14101",,
ALMA RUTH POZOS ESPINOZA,ADM-16733,,
EDITH MIREYA VARGAS GARCIA,"MAT-14310, MAT-12349",,
MARCELA PORTE PETIT ANDUAGA,"CON-10112, CON-10003",,
GLORIA LOPEZ CHAVEZ,"MAT-14201, MAT-12310",,
RICARDO SERGIO FADL KURI,"ECO-15110, ECO-15101",,
BENITO REVAH MEYOHAS,CON-11001,,
CARLOS MANDUJANO FERREIRO,"ECO-12010, ECO-12102",,
RAFAEL GREGORIO GAMBOA HIRALES,SDI-24810,,
JOSE DEL NIÑO JESUS CAMPERO PARDO,"MAT-12102, MAT-12101",,
JUAN JOSE FERNANDEZ DURAN,ADM-15517,,
ROSA MARGARITA GALAN VELEZ,LEN-12702,,
IRVIN ARTURO CASTILLO CESAREO,"DER-13203, DER-13201",,
MARIA LAURA BATTAGLIOLA,"EST-24105, EST-24124, EST-24106, EST-24125",,
JUAN CARLOS BELAUSTEGUIGOITIA RIUS,"ECO-10300, ECO-11000, ECO-17103, CSO-10003",,
ARTURO PELAEZ GALVEZ,EGN-17162,,
MARCELO CARLOS MEJIA OLVERA,"COM-16301, COM-14105, COM-16306",,
FELIPE MEZA GOIZ,"ECO-22113, ECO-13102",,
ANTONIO JESUS DIEZ QUESADA,EGN-17142,,
ANA REGINA LUEVANO CAYON,EGN-17141,,
MARISOL VILLANUEVA CASTILLO,"MAT-14250, MAT-14200",,
MIGUEL ANGEL MOTA GAYTAN,"MAT-14201, MAT-24320",,
MOSHE BEN HAMO YEGER,CSO-17042,,
MIGUEL MESSMACHER LINARTAS,ECO-11000,,
JOSE OCTAVIO GUTIERREZ GARCIA,COM-15112,,
ANTE SALCEDO GONZALEZ,"IIO-16111, SDI-17306",,
MARTHA BEATRIZ ZERTUCHE SANCHEZ,EST-10102,,
XINYANG WANG,"ECO-21111, ECO-21104",,
SILVIA RIOS MAGOS,"COM-16305, COM-14113",,
GABRIEL GOODLIFFE,"EIN-15105, EIN-16402",,
JOSE COVARRUBIAS AZUELA,DER-13607,,
RODOLFO DARIO VAZQUEZ CARDOZO,DER-11805,,
CLEMENTE ROMERO OLMEDO,DER-10017,,
ANTONIO RODOLFO LLORET CARRILLO,"ADM-12360, ADM-12251, ADM-12107",,
JORGE JESUS ALONSO ORTIZ,"ECO-22105, ECO-12121",,
CARLOS GONZALEZ HERNANDEZ,"ADM-11013, ADM-12022",,
ISRAEL LOPEZ AVILA,"COM-12101, COM-12109",,
MARIA DE LOS ANGELES YAÑEZ ACOSTA,ACT-15360,,
ANDREAS WACHTEL,"MAT-14390, MAT-24406, MAT-24430",,
MARGARITA TARRAGONA SAEZ,CEB-10001,,
EDGAR POSSANI ESPINOSA,"MAT-24500, MAT-12350",,
MANUEL TAMEZ ZENDEJAS,"CON-15001, CON-15002",,
PEDRO DANIEL TREJO SOLIS,ACT-11300,,
MAIRA MADRIZ MENDOZA,"MAT-14201, MAT-14101",,
EDGAR FRANCISCO ROMAN RANGEL,COM-22108,,
MARIA GUADALUPE ADRIANA ORTEGA ORTIZ,"DER-14505, DER-11115-LAB",,
ATHANASIOS  HRISTOULAS,"EIN-17303, EIN-13202",,
DIANA LUCIA ALVAREZ MACIAS,"LEN-12722, LEN-12754, LEN-12762",,
LETICIA RENTERIA FERRAN,"COM-11302, COM-16412",,
SERGIO IVAN ARROYO GILES,MAT-10101,,
KARINA ESTHELA VILLANUEVA GONZALEZ,LEN-12701,,
MIGUEL ANGEL CASTRO TORRESLANDA,"DER-11307, DER-11107-LAB, DER-11112-LAB",,
BERTHA HILDA ROJAS NUÑEZ,"CON-14101, CON-12110, CON-14109, CON-11013",,
PAULINA BUSTOS ARELLANO,COM-22104,,
FRANCISCO FERNANDO NOREÑA VILLARIAS,"MAT-12102, MAT-14102",,
ROXANA PEREZ ARCE VALLE,"DER-10015, DER-10022, DER-10016",,
JAVIER ARTURO VELAZQUEZ GALVAN,EGN-17121,,
JULIO ANTONIO RIOS FIGUEROA,"DER-15087, DER-15086",,
HUGO RODRIGUEZ CORTES,"SDI-11561-LAB, SDI-15777",,
MARIA MERCEDES GREGORIO DOMINGUEZ,"ACT-22306, ACT-13307",,
WHITNEY CELESTE DE VOS,DER-11108,,
JUAN SALVADOR MARMOL YAHYA,"COM-23101, COM-15111",,
ADRIAN URBINA GALICIA,CON-15003,,
LIDIA VALLEJO BALDERRABANO,CON-10011,,
ALEJANDRO ISLAS CAMARGO,"EST-11102, EST-11104, EST-11103",,
LUCIA PI CHOLULA,"LEN-14208, LEN-12702, LEN-10132, LEN-12711",,
MARIANA AGUILAR AGUILAR,DER-10003,,
AIRAM ASERET BLANCAS BENITEZ,"EST-14107, EST-11101",,
DANTE GABRIEL CAMPOS SALIDO,EST-24107,,
JEFFREY ALLEN WELDON,"CSO-13041, CSO-15021, CSO-14045",,
LOUIS ZALTZMAN KORNHAUSER,ECO-15491,,
ROSA GABRIELA GONZALEZ PULIDO,DER-14607-LAB,,
ALEJANDRA SOLIS GONZALEZ,"LEN-12701, LEN-13101, LEN-10132, LEN-12702, LEN-12714",,
YANIRA ROSALBA PETRIDES JIMENEZ,"CON-14101, CON-12110, CON-14109, CON-18002",,
ANTONIO LOPEZ VEGA,EGN-17142,,
ERNESTO JUVENAL BARRIOS ZAMUDIO,"EST-14103, EST-24127, EST-14102, EST-24126, EST-14101",,
FRANCISCO GERARDO CESAR MEDINA,ACT-25354,,
SHARON MAGALI VALVERDE ESPARZA,"MAT-12220, MAT-12221",,
MAX LUGO DELGADILLO,COM-23116,,
MONICA CECILIA SOTO BETANCOURT,EGN-17141,,
VICTOR MANUEL GUERRERO GUZMAN,"EST-11104, EST-11103",,
SERGIO JAVIER LUIS ALCAZAR,LEN-12701,,
CECILIA MARIA ORTIZ AHLF,"ADM-16603, ADM-16644",,
RODRIGO PEÑA GONZALEZ,EIN-16403,,
ENRIQUE CUERVO GUZMAN,"EST-24105, EST-24124",,
MARIA ALEJANDRA BARRERA RAMIREZ,"COM-16303, COM-16413",,
SILVANO ANTONIO ESPINDOLA PARRA,EGN-17141,,
EMILIANO AMAURI RUIZ PARRA,LEN-12755,,
MARIO ANDRES AGUILAR ORDUÑA,"SDI-11221-LAB, SDI-11221",,
EDWIN ALAN PIÑON GONZALEZ,"DER-15076-LAB, DER-15068",,
MANUEL ADRIAN CHAVEZ PEREZ,LEN-12702,,
FEDERICO AUGUSTO GUZMAN RUBIO,"LEN-15532, LEN-12702, LEN-12717",,
JANKO HERNANDEZ CORTES,"ADM-15560, ADM-15534",,
FRANCISCO JAVIER VILLA LOPEZ,SDI-12515-LAB,,
JULIAN GOMEZ FAUSTINO,ADM-15514,,
FRANCO ZECCHETTO TOLEDO,ADM-15507,,
ERNESTO PEREZ CHAVELA,"MAT-24110, MAT-12200",,
JOSE OMAR HERNANDEZ SALGADO,DER-17702,,
MARIA ANA MERCEDES GONZALEZ ARMENDARIZ,"CON-10110, CON-10100",,
MAURICIO HERNANDEZ CERVANTES,LEN-12761,,
JUAN SALVADOR GARZA LEDESMA,"MAT-14280, MAT-14300",,
MARCIA AMARANTA GAMEZ MENDIVIL,LEN-12702,,
JOSEFINA CORTES CAMPOS,DER-17601,,
LEVENT ULKU,"ECO-10204, ECO-11121, ECO-10202",,
HANAKO TANIGUCHI PONCIANO,LEN-12758,,
ERNESTO JAVIER CORDERO ARROYO,ECO-10517,,
MARIA DE LAS MERCEDES ADAMUZ PEÑA,"ADM-15528, ADM-15593, ADM-15503",,
JOSE ANTONIO SOUZA JIMENEZ,"IIO-15175-LAB, IIO-15161-LAB",,
YOANNA SHUBICH GREEN,EIN-19414,,
CARLOS JEFFREY MCCADDEN MARTINEZ,EGN-17121,,
GERMAN  SUCAR,DER-11206,,
ANDREA GONZALEZ AGUILAR,LEN-12701,,
ROSA MARIA ROJAS VERTIZ CONTRERAS,"DER-10018, DER-16503, DER-16602",,
GUILLERMO IGNACIO GARCIA ALCOCER,ECO-11103,,
FRANCISCA MARIA POU GIMENEZ,DER-15600,,
ESTEBAN DEGETAU SENTIES,"ECO-11010, ECO-11101",,
LUIS EDUARDO URBAN RIVERO,"IIO-13150, IIO-12172",,
EDUARDO ERASMO OSORNIO GARCIA,"DER-15061, DER-15080-LAB",,
ISABEL FLORES ALCAZAR,EIN-11101,,
ANDREY  GOMBERG,"ECO-11121, ECO-15111",,
FRANCISCO PEREZ GONZALEZ,ADM-15560,,
PABLO KALMANOVITZ GONZALEZ,"EIN-12201, EIN-14102",,
CARLOS ERNESTO URRUTIA VILLALOBOS,"ECO-18300, ECO-13102",,
JOAO PEDRO LEITAO DA CRUZ MORAIS,"MAT-24210, MAT-12202",,
FERNANDO BUENO AJA,"DER-17806, DER-17804",,
ANURAG SINGH,ADM-15531,,
JOSE PANTALEON DOMINGUEZ ESPONDA,EGN-17141,,
CARLOS ARTURO RUBIO ROJAS,DER-17703,,
VIDAL FERNANDO ROMERO LEON,"CSO-16048, CSO-15041, CSO-16042",,
BELEN ESPINOSA LUCIO,MAT-14101,,
FERNANDO DIEGO PEREZ CERVANTES,"ADM-15522, ADM-15517",,
MARIA ISABEL LOPEZ SANTIBAÑEZ GONZALEZ,LEN-12701,,
MARIANA CALDERON ARAMBURU,DER-10011,,
JOSE MARTINEZ GUTIERREZ,ECO-12201,,
SEBASTIAN FERNANDEZ ALONSO MARQUEZ,DER-16922-LAB,,
SYLVIA MELJEM ENRIQUEZ DE RIVERA,CON-12003,,
YOLANDA ISABEL PRETELIN MUÑOZ DE COTE,"MAT-14250, MAT-12349, MAT-14200",,
JOSE MARIA BARRERO SANCLEMENTE,ADM-15532,,
CARLOS GUTIERREZ LOZANO,EGN-17141,,
JOSE RODRIGO SIRVENT BRAVO AHUJA,ECO-14301,,
ANA LIDIA FRANZONI VELAZQUEZ,"COM-16305, COM-16203",,
JEAN PIERRE LOSTAUNAU COSTA,IIO-14278,,
JOHN BRADFORD MCBRIDE PITTS,ADM-11013,,
CECILIA GALAVIZ ALVAREZ,"EGN-17121, EGN-17141",,
SANTIAGO TAMARIZ ACOSTA,DER-11112-LAB,,
JOSE EZEQUIEL SOTO SANCHEZ,"MAT-14250, MAT-24431, MAT-14200",,
JOSE ANGEL FERNANDEZ URIA,"DER-13108, DER-13302",,
RAUL ENRIQUE BRAVO ADUNA,"LEN-17103, LEN-12718",,
SAMARI PAULINA GARCIA Y COLOME GONGORA,LEN-12702,,
ANA PAULINA FIGUEROA GUTIERREZ,"MAT-12220, MAT-14281, MAT-12350, MAT-14301",,
CESAR LUIS GARCIA GARCIA,"MAT-24110, MAT-12200, MAT-24130",,
ERIKA GEORGINA CHAVEZ PIEDRA BUENA,"ACT-11301, ACT-15357",,
JOSE RAMON RIOS SANCHEZ,COM-11107,,
MARTIN MAGRIS,EST-11101,,
MARCELA GONZALEZ MARTINEZ,"CON-10002, CON-10001, CON-10111, CON-17102",,
JOSE JAVIER MEDRANO PEREZ,"ADM-12311, ADM-13125, ADM-16731, ADM-11120, ADM-16601",,
HECTOR ANGEL DOMINGUEZ ALVAREZ,MAT-12250,,
TANIA GABRIELA RODRIGUEZ HUERTA,"DER-10005, DER-18041, DER-10006, DER-18600, EIN-19132, DER-18701",,
CARLOS EDUARDO SCHLESKE JUAREZ,DER-10008,,
RAYBEL ANDRES GARCIA ANCONA,"MAT-12200, MAT-14102",,
FELIPE CURCO COBOS,"CSO-11012, CSO-11011, CSO-11021",,
VICTOR MANUEL FERNANDEZ GONZALEZ ANGULO,CON-10005,,
VICTORIA NUGUER,"ECO-10204, ECO-10202",,
RAFAEL CISNEROS MONTOYA,"SDI-11322, SDI-17401",,
LUZ DEL CARMEN CARRILLO CAREAGA,DER-10021,,
LUIS REY RAIGOSA SOTELO,"DER-11120, DER-11907",,
GABRIELA HERNANDEZ GARCIA,EGN-17141,,
RAUL ALEJANDRO LIVAS ELIZONDO,ECO-18300,,
ADRIAN RUBLI ORNELAS,ADM-12107,,
MIGUEL ANGEL MENDEZ ANTONIO,EST-11102,,
JOSE LUIS CABALLERO RODRIGUEZ,DER-19501,,
MENEY DE LA PEZA GANDARA,ECO-11104,,
FELIX VELEZ FERNANDEZ VARELA,ECO-17100,,
ROMEO SALVADOR ORTEGA MARTINEZ,SDI-12515,,
MARIA JOSE URZUA VALVERDE,EIN-18602,,
ARTURO ALBERTO AGUILAR ESTEVA,ECO-10516,,
ADAN RAMIREZ LOPEZ,"IIO-15161, IIO-15140-LAB",,
FERNANDO RODRIGUEZ DOVAL,"EGN-17162, EGN-11169",,
GABRIELA MELENDEZ VARGAS,ACT-15352,,
ROSARIO EDITH GARCIA MENDIOLA,"CON-10002, COM-16401, CON-10111, COM-16414",,